"15,Austiņas,Audio Technica,ATH-SQ1TW,ATH-SQ1TW,Melna,Jā,100 - 10000 Hz,Iebūvēts,Jā,Bluetooth,58 mm,20 - 20000 Hz,16 Ω,100 dB,44.6 g,19.5 h,3.5 h,""USB-A/USB-C uzlādes kabelis, austiņu uzgaļi (XS, S, M, L)"",24 mēn,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
16,Austiņas,Jabra,Evolve2 75,MS Link380c with Stand,Ar galvas stīpu,Melna,Jā,5 - 20000 Hz,Iebūvēts,Jā,Jā,40 mm,20 - 20000 Hz,30 mW,36 h,2 h,24 mēn,323.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
17,Austiņas,Nura,NuraTrue,NuraTrue Fool's Gold Limited Edition,Dzeltena,Jā,Iebūvēts,Jā,Bluetooth,20 - 20000 Hz,2.0 (Stereo),37.1 g,Nē,6 h,24 mēn,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
18,Austiņas,AOC,GH401,Ar galvas stīpu,Melna,Jā,100 - 10000 Hz,Iebūvēts,Jā,3.5 mm,1.2 m,20 - 20000 Hz,50 mW,32 Ω,100 dB,350 g,Nē,17 h,24 mēn,111.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"19,Austiņas,Turtle Beach,Recon 500,Recon 500 Arctic Camo,Īpaši datorspēlēm,Balta,Jā,Noņemams,Jā,Nē,3.5 mm,1.3 m,60 mm,20 - 20000 Hz,2.0 (Stereo),Nē,""Austiņas, mikrofons, pamācība, uzlīme"",24 mēn,""K Senukai OZOLS, Mazā Rencēnu iela 1"",,31.01.2023.,5 gab.,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
"20,Austiņas,Sony,WH-XB910,WH-XB910NL,Ar galvas stīpu,Zila,Jā,Iebūvēts,Jā,USB-C,40 mm,7 - 25000 Hz,96 dB,Pasīva,30 h,3.5 h,24 mēn,""K Senukai OZOLS, Mazā Rencēnu iela 1"",,23.05.2023.,1 gab.,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
21,Austiņas,Panasonic,RZ-B210WDE,RZ-B210WDE-P,Rozā,Jā,Iebūvēts,Jā,Bluetooth,10 mm,20 - 20000 Hz,Nē,4 h,2 h,24 mēn,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
22,Austiņas,Audio Technica,ATH-M50xSTS,XLR,On-Ear,Melna,Jā,50 - 20000 Hz,Izvelkams,Nē,Nē,3.5 mm,2 m,45 mm,15 - 28000 Hz,1600 mW,38 Ω,99 dB,330 g,Nē,24 mēn,215.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
23,Austiņas,Sony,RF895RK,Ar galvas stīpu,Melna,Nē,Iebūvēts,Jā,Jā,40 mm,10 - 22000 Hz,32 Ω,100 dB,Pasīva,20 h,24 mēn,Ērti ausu spilventiņi. Balss režīms.,93.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
24,Austiņas,Dell,AW720H,545-BBFD,On-Ear,Melna,Jā,Izvelkams,Jā,3.5 mm,20 - 40000 Hz,32 Ω,105 dB,Aktīva,348 g,24 mēn,170.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
25,Austiņas,Poly,Voyager Focus 2,Ar galvas stīpu,Melna,Jā,Izvelkams,Jā,Bluetooth,20 - 20000 Hz,102 dB,175 g,Nē,16 h,2 h,24 mēn,275.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
26,Austiņas,Lenovo,Go,Wireless ANC Headset with Charging stand,Melna,Bluetooth versija,5.0,Jā,Izvelkams,Jā,Bluetooth,40 mm,20 - 20000 Hz,32 Ω,107 dB,Aktīva,586.5 g,Nē,35 h,1.5 h,24 mēn,178.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
27,Austiņas,Huawei,FreeBuds Pro 2,Balta,Jā,Iebūvēts,Jā,Jā,14 - 40000 Hz,Aktīva,52 g,Nē,6.5 h,1 h,24 mēn,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
28,Austiņas,Sennheiser,Impact SC 660 ANC,Ar galvas stīpu,Sudraba,Jā,Jā,USB,1 m,50 - 18000 Hz,228.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
29,Austiņas,1More,SonoFlow,Ar galvas stīpu,Melna,Bluetooth versija,5.0,Jā,Iebūvēts,Jā,Bluetooth,20 - 20000 Hz,Aktīva,250 g,Nē,50 h,1.3 h,24 mēn,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"30,Austiņas,Corsair,VOID RGB Elite,Ar galvas stīpu,Melna,Jā,100 - 10000 Hz,Jā,Jā,50 mm,20 - 30000 Hz,32 Ω,116 dB,""7.1, Surround Sound"",Pasīva,16 h,24 mēn,LED apgaismojums,""K Senukai OZOLS, Mazā Rencēnu iela 1"",,30.03.2023.,2 gab.,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
31,Maciņi,Baseus,Silica,Pelēka,Korpusa materiāls,Silikons,Materiāls: silikagels,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
32,Austiņas,Beats,Studio3 Wireless,Studio3 Wireless,Ar galvas stīpu,Brūna,Jā,Nē,Jā,3.5 mm,35 mm,20 - 20000 Hz,35 Ω,110 dB,Aktīva,260.8 g,22 h,24 mēn,Pure Adaptive Noise Cancelling (ANC) tehnoloģija. Apple W1 čips,334.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
33,Austiņas,Logitech,G733,Ar galvas stīpu,Melna,Jā,Jā,USB,20 - 20000 Hz,39 Ω,87 dB,Pasīva,29 h,24 mēn,Akumulatora darbības laiks - līdz 29 stundām (bez apgaismojuma),131.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"34,Austiņas,Razer,Barracuda X,Barracuda X Mercury,Ar galvas stīpu,Balta,Jā,100 - 10000 Hz,Izvelkams,Jā,Bluetooth,1.5 m,40 mm,20 - 20000 Hz,32 Ω,96 dB,2.0 (Stereo),250 g,Nē,20 h,24 mēn,Ergonomisks dizains,""K Senukai OZOLS, Mazā Rencēnu iela 1"",,22.05.2023.,4 gab.,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
"35,Austiņas,Bose,Sport,Sport,Balta,Jā,Iebūvēts,Nē,Jā,Bluetooth,20 - 20000 Hz,2.0 (Stereo),Nē,5 h,2 h,""2 Bose Sport austiņas, uzlādes futrālis, mazi un lieli austiņu uzgaļi, USB-C uzlādes kabelis, ātrās lietošanas pamācība"",24 mēn,Ūdensizturība: IPX4,191.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
